FileTest	CH	QH	
CH_BT	1.00 	0.00 	
CH_CCHV	1.00 	0.00 	
CH_CG	1.00 	0.00 	
CH_CNGM	1.00 	0.00 	
CH_CP	1.00 	0.00 	
CH_DD	1.00 	0.00 	
CH_DL	1.00 	0.00 	
CH_DLMC	1.00 	0.00 	
CH_DPPC	1.00 	0.00 	
CH_DTBT	1.00 	0.00 	
CH_DTTD	1.00 	0.00 	
CH_DTTK	1.00 	0.00 	
CH_DTTN	1.00 	0.00 	
CH_DX	1.00 	0.00 	
CH_DXN	1.00 	0.00 	
CH_LL	1.00 	0.00 	
CH_LNC	1.00 	0.00 	
CH_NTQT	1.00 	0.00 	
CH_QG	1.00 	0.00 	
CH_QM	1.00 	0.00 	
CH_QTVD	1.00 	0.00 	
CH_SLC	1.00 	0.00 	
CH_SQC	1.00 	0.00 	
CH_TV	1.00 	0.00 	
CH_XX	1.00 	0.00 	
QH_BBBD	0.00 	1.00 	
QH_BDMT	1.00 	0.00 	
QH_BQ	0.50 	0.50 	
QH_CD	1.00 	0.00 	
QH_CTVTVT	0.50 	0.50 	
QH_CTX	0.25 	0.75 	
QH_CVGCTQ	1.00 	0.00 	
QH_DBBMCG	0.00 	1.00 	
QH_DCSC	0.00 	1.00 	
QH_DQNB	0.75 	0.25 	
QH_GDCC	0.75 	0.25 	
QH_GTGM	0.50 	0.50 	
QH_LGD	0.25 	0.75 	
QH_LVDC	0.25 	0.75 	
QH_MN	1.00 	0.00 	
QH_NGMD	0.75 	0.25 	
QH_NMKN	0.25 	0.75 	
QH_NODHLV	0.50 	0.50 	
QH_NQNL	0.50 	0.50 	
QH_SCLK	1.00 	0.00 	
QH_SMAD	0.00 	1.00 	
QH_TETCHL	0.00 	1.00 	
QH_TPTN	0.00 	1.00 	
QH_TRBMSTC	0.50 	0.50 	
QH_VBM	0.00 	1.00 	
